name;address;station_id;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Pos Meteorologi Penggung;;96793;;-6.7553;108.53904;23;Region II;Jawa Barat;Kab. Cirebon;Meteorologi;UTC+07:00
Stasiun Klimatologi Riau;Jl. Unggas, Simpang Tiga, Kec. Bukit Raya, Kota Pekanbaru, Riau;96107;;0.40751419;101.2172733;18;Region I;Riau;Kab. Kampar;Klimatologi;UTC+07:00
Stasiun Klimatologi Sulawesi Tenggara;Poros Bandara, Lorong Mekar, Desa Ranooha, Kec. Ranomeeto, Kabupaten Konawe Selatan, Sulawesi Tenggara;97150;;-4.056;122.449;30;Region IV;Sulawesi Tenggara;Kab. Konawe Selatan;Klimatologi;UTC+08:00
Stasiun Klimatologi Gorontalo;Jl. B.J Habibie (desa moutong) Kec. Tilongkabila Kab. Bone Bolango;97052;;0.555;123.14;15;Region IV;Gorontalo;Kab. Bone Bolango;Klimatologi;UTC+08:00
Stasiun Klimatologi DI Yogyakarta;Jl. Kabupaten Km 5,5 Duwet, Sendangadi, Mlati, Sleman, Daerah Istimewa Yogyakarta;96851;;-7.731;110.354;182;Region II;DI Yogyakarta;Kab. Sleman;Klimatologi;UTC+07:00
Stasiun Klimatologi Papua Selatan;Jl. Poros Semangga-Tanah Miring, dist. Tanah Miring;97978;;-8.387397874;140.5169272;4;Region V;Papua;Kab. Merauke;Klimatologi;UTC+09:00
Stasiun Klimatologi Bangka Belitung;Komp. Perkantoran Terpadu Pemkab. Bangka Tengah, Jl. Kartika I, Koba, Kep. Bangka-Belitung;96239;;-2.518;106.422;5.8;Region II;Kepulauan Bangka Belitung;Kab. Bangka Tengah;Klimatologi;UTC+07:00
Stasiun Pemantau Atmosfer Global Lore Lindu Bariri;Jl. Sapta Marga No.01, Kelurahan Birobuli Utara, Kec. Palu Selatan, Kota Palu, Sulawesi Tengah;97094;;0;0;0;Region IV;Sulawesi Tengah;Kota Palu;Klimatologi;UTC+08:00
Stasiun Pemantau Atmosfer Global Puncak Vihara Klademak;Jl. Sungai Remu KM.08 Malanu, Malaingkedi, Kota Sorong, Papua Barat;97500;;-8.61881;120.39455;1097;Region V;Papua Barat;Kota Sorong;Klimatologi;UTC+09:00
Stasiun Meteorologi Tuban;Jl. Raya Beji Desa Kaliuntu Kecamatan Jenu Kabupaten Tuban;96939;;-6.8229;111.99177;5;Region III;Jawa Timur;Kab. Tuban;Meteorologi;UTC+07:00
Stasiun Geofisika Alor;Jl. Soekarno-Hatta, Kabola, Kab. Alor - NTT;97247;;2;118;10;Region III;Nusa Tenggara Timur;Kab. Alor;Geofisika;UTC+08:00
Stasiun Geofisika Mataram;Jl. Adi Sucipto No. 10 Rembiga Selaparang Mataram NTB;99932;;-8.56419;116.09987;16;Region III;Nusa Tenggara Barat;Kota Mataram;Geofisika;UTC+08:00
Stasiun Meteorologi Silangit;Jl. Simpang Muara No. 1 Terminal A Bandara Silangit Siborongborong, Tapanuli Utara, Sumatera Utara;96043;;2.26136;98.99357;1420;Region I;Sumatera Utara;Kab. Tapanuli Utara;Meteorologi;UTC+07:00
Stasiun Meteorologi Maritim Ambon;Jl. AIS Nasution No. 8 Ambon, Maluku;97730;;-3.79051;128.1007;3;Region IV;Maluku;Kota Ambon;Meteorologi;UTC+09:00
Stasiun Meteorologi Maritim Tenau;Jl. M. Praja, Alak - Kupang;97370;;-10.18857;123.52905;23;Region III;Nusa Tenggara Timur;Kota Kupang;Meteorologi;UTC+08:00
Stasiun Meteorologi Yogyakarta;Jl. Nasional 3, Bandar Udara Yogyakarta Internasional Airport Kulon Progo;96859;;-7.90343;110.06707;8;Region II;DI Yogyakarta;Kab. Kulon Progo;Meteorologi;UTC+07:00
Taman Alat Digital Staklim Sumsel;;96225;;-3.0156;104.43;4;Region II;Sumatera Selatan;Kota Palembang;Klimatologi;UTC+07:00
Stasiun Meteorologi Dhoho;Bandara Dhoho Kediri, Grogol, Kec. Grogol, Kabupaten Kediri, Jawa Timur;96929;;-7.75487;111.9469;94;Region III;Jawa Timur;Kab. Kediri;Meteorologi;UTC+07:00
