name;wmo_id;alamat;wigos_id;latitude;longitude;elevation_m;region_desc;provinsi_name;kabupaten_name;type_MeteorologiKlimatologiGeofisika;time_zone
Stasiun Klimatologi Jawa Barat;96753;;;-10.1678;123.67039;102;Region III;Nusa Tenggara Timur;Kota Kupang;Klimatologi;7
Atang Sendjaja TNIAU;96755;;;3.749;96.84832;21;Region I;Aceh;Kab. Aceh Barat Daya;Meteorologi;7
Surya Darma TNIAU;96773;;;0;0;0;Region II;Jawa Barat;Kab. Subang;Meteorologi;7
Husein Sastra Negara TNIAU;96781;;;-6.90227;107.57627;746.76;Region II;Jawa Barat;Kota Bandung;Meteorologi;7
Stasiun Geofisika Bandung;96783;;;-10.76662;123.07395;141;Region III;Nusa Tenggara Timur;Kab. Rote Ndao;Geofisika;7
Stasiun Meteorologi Kertajati;96791;;;-6.7344;108.263;42.3;Region II;Jawa Barat;Kab. Majalengka;Meteorologi;7
Pos Meteorologi Penggung;96793;;;2.47;97.85;14;Region I;Aceh;Kab. Aceh Singkil;Meteorologi;7
Stasiun Meteorologi Maritim Tegal;96797;;;-6.5254;109.07157;3;Region II;Jawa Tengah;Kab. Tegal;Meteorologi;7
Wiriadinata TNIAU;96801;;;0;0;0;Region III;Kalimantan Selatan;Kab. Tanah Bumbu;Meteorologi;7
Stasiun Meteorologi Tunggul Wulung;96805;;;-7.7186;109.0148;6;Region II;Jawa Tengah;Kab. Cilacap;Meteorologi;7
Stasiun Geofisika Banjarnegara;96807;;0-20000-0-96807;-7.333;109.7069;608;Region II;Jawa Tengah;Kab. Banjarnegara;Geofisika;7
Stasiun Klimatologi Jawa Tengah;96835;;;5.46731;95.37;19;Region I;Aceh;Kab. Aceh Besar;Klimatologi;7
Stasiun Meteorologi Maritim Tanjung Emas;96837;;;5.49519;95.33187;8;Region I;Aceh;Kab. Aceh Besar;Meteorologi;7
Stasiun Meteorologi Ahmad Yani;96839;;;-6.97683;110.3778;5;Region II;Jawa Tengah;Kota Semarang;Meteorologi;7
Adi Soemarmo TNIAU;96845;;;3.84598;96.74434;16;Region I;Aceh;Kab. Aceh Barat Daya;Meteorologi;7
Stasiun Klimatologi DI Yogyakarta;96851;;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Tengah;Klimatologi;7
Adisutjipto TNIAU;96853;;0-20000-0-96853;3.90206;96.69744;37;Region I;Aceh;Kab. Aceh Barat Daya;Meteorologi;7
Stasiun Geofisika Sleman;96855;;;-7.82;110.3;153;Region II;DI Yogyakarta;Kab. Sleman;Geofisika;7
Detasemen Pacitan TNIAU;96857;;;3.84592;96.74428;16;Region I;Aceh;Kab. Aceh Barat Daya;Meteorologi;7
Stasiun Meteorologi Yogyakarta;96859;;;-7.90746;110.05448;7;Region II;DI Yogyakarta;Kab. Kulon Progo;Meteorologi;7
Iswahyudi TNIAU;96881;;;0;0;0;Region I;Aceh;Kab. Gayo Lues;Meteorologi;7
Stasiun Meteorologi Sangkapura;96925;;;-1.8754;136.23994;3;Region V;Papua;Kab. Kepulauan Yapen;Meteorologi;7
Stasiun Meteorologi Dhoho;96929;;;5.2503;96.79846;6;Region I;Aceh;Kab. Bireuen;Meteorologi;7
Stasiun Meteorologi Perak I;96933;;-;5.54135;95.5113;281;Region I;Aceh;Kab. Aceh Besar;Meteorologi;7
Stasiun Meteorologi Juanda;96935;;;5.52;95.35;7;Region I;Aceh;Kab. Aceh Besar;Meteorologi;7
