name;wmo_id;alamat;wigos_id;latitude;longitude;elevation_m;region_desc;provinsi_name;kabupaten_name;type_MeteorologiKlimatologiGeofisika;time_zone
Stasiun Meteorologi Maimun Saleh;96001;;0-20000-1-06588;5.87655;95.33785;10;Region I;Aceh;Kota Sabang;Meteorologi;7
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah III;96003;;;0;0;0;Region V;Papua Barat;Kab. Sorong Selatan;Balai;8
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah IV;96004;;;-5.14283;119.45227;72;Region IV;Sulawesi Selatan;Kota Makassar;Balai;8
Stasiun Meteorologi Malikussaleh;96009;;0-20000-1-06600;3.5;97.83;182;Region I;Aceh;Kab. Aceh Tenggara;Meteorologi;7
Stasiun Meteorologi Sultan Iskandar Muda;96011;;;5.52244;95.417;20;Region I;Aceh;Kab. Aceh Besar;Meteorologi;7
Stasiun Geofisika Aceh Besar;96013;;0-20000-0-96013;2.45;98.04;43;Region I;Aceh;Kab. Aceh Singkil;Geofisika;7
Stasiun Meteorologi Cut Nyak Dhien Nagan Raya;96015;;0-20000-0-95013;4.04928;96.24796;3;Region I;Aceh;Kab. Nagan Raya;Meteorologi;7
Stasiun Klimatologi Aceh;96017;;;5.404;95.464;40;Region I;Aceh;Kab. Aceh Besar;Klimatologi;7
Stasiun Klimatologi Sumatera Utara;96031;;;3.6104;97.72976;274;Region I;Aceh;Kab. Aceh Tenggara;Klimatologi;7
Stasiun Meteorologi Maritim Belawan;96033;;;1.55;98.88;10;Region I;Sumatera Utara;Kab. Tapanuli Tengah;Meteorologi;7
Stasiun Meteorologi Kualanamu;96035;;0-20000-0-96035;3.64573;98.88488;23;Region I;Sumatera Utara;Kab. Deli Serdang;Meteorologi;7
Stasiun Geofisika Deli Serdang;96037;;;3.2983;97.6531;151;Region I;Aceh;Kab. Aceh Tenggara;Geofisika;7
Soewondo TNIAU;96039;;;4;97.31;1045;Region I;Aceh;Kab. Gayo Lues;Meteorologi;7
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I;96041;;;2.485;96.37;10;Region I;Aceh;Kab. Simeulue;Balai;7
Stasiun Meteorologi Silangit;96043;;;21541.5;985937.3;1420;Region I;Sumatera Utara;Kab. Tapanuli Utara;Meteorologi;7
Stasiun Meteorologi Aek Godang;96071;;;4.98;97.7;15;Region I;Aceh;Kab. Aceh Timur;Meteorologi;7
Stasiun Meteorologi FL Tobing;96073;;;0.45924;101.44743;39;Region I;Riau;Kota Pekanbaru;Meteorologi;7
Stasiun Meteorologi Binaka;96075;;;3.2;106.25;2;Region I;Kepulauan Riau;Kab. Kepulauan Anambas;Meteorologi;7
Stasiun Geofisika Gunungsitoli;96077;;;-0.79355;100.28917;6;Region I;Sumatera Barat;Kab. Padang Pariaman;Geofisika;7
Stasiun Meteorologi Hang Nadim;96087;;;1.11667;104.11667;26;Region I;Kepulauan Riau;Kota Batam;Meteorologi;7
Stasiun Meteorologi Raja Haji Abdullah;96089;;;4.59;97.53;204;Region I;Aceh;Kab. Aceh Timur;Meteorologi;7
Stasiun Meteorologi Raja Haji Fisabilillah;96091;;;-1.635166;103.6453;27;Region II;Jambi;Kota Jambi;Meteorologi;7
Stasiun Klimatologi Riau;96107;;;2.4772;98.03962;89;Region I;Aceh;Kab. Aceh Singkil;Klimatologi;7
Stasiun Meteorologi Sultan Syarif Kasim II;96109;;;0.45924;101.44743;39;Region I;Riau;Kota Pekanbaru;Meteorologi;7
Stasiun Meteorologi Tarempa;96145;;0-20000-0-96145;3.2;106.25;2;Region I;Kepulauan Riau;Kab. Kepulauan Anambas;Meteorologi;7
Stasiun Meteorologi Maritim Natuna;96147;;0-20000-0-96147;4.60019;97.89607;6;Region I;Aceh;Kab. Aceh Timur;Meteorologi;7
Raden Sadjad TNIAU;96149;;;5.15951;96.8154;16;Region I;Aceh;Kab. Bireuen;Meteorologi;7
Stasiun Meteorologi Maritim Teluk Bayur;96161;;;-0.99639;100.37222;2;Region I;Sumatera Barat;Kota Padang;Meteorologi;7
Stasiun Meteorologi Minangkabau;96163;;;-0.79355;100.28917;6;Region I;Sumatera Barat;Kab. Padang Pariaman;Meteorologi;7
Stasiun Geofisika Padang Panjang;96165;;;5.05253;97.51814;15;Region I;Aceh;Kab. Aceh Timur;Geofisika;7
Stasiun Klimatologi Sumatera Barat;96167;;;5.168;97.501;7;Region I;Aceh;Kab. Aceh Timur;Klimatologi;7
Stasiun Pemantau Atmosfer Global Bukit Koto Tabang;96169;;;-0.42;111.47;40;Region II;Kalimantan Barat;Kab. Melawi;Klimatologi;7
Stasiun Meteorologi Kelas II Japura Indragiri Hulu;96171;;;4.84;97.59;0;Region I;Aceh;Kab. Aceh Timur;Meteorologi;7
Stasiun Meteorologi Dabo;96179;;;-0.48;104.58;29;Region I;Kepulauan Riau;Kab. Lingga;Meteorologi;7
Stasiun Klimatologi  Jambi;96191;;;4.91;97.72;22;Region I;Aceh;Kab. Aceh Timur;Klimatologi;7
Stasiun Meteorologi Sultan Thaha;96195;;;1.74;109.3;15;Region II;Kalimantan Barat;Kab. Sambas;Meteorologi;7
Stasiun Meteorologi Depati Parbo;96207;;;-2.083;101.45;782;Region II;Jambi;Kab. Kerinci;Meteorologi;7
Stasiun Meteorologi Sultan Mahmud Badaruddin II;96221;;;0.8389;112.9348;43;Region II;Kalimantan Barat;Kab. Kapuas Hulu;Meteorologi;7
Stasiun Klimatologi Sumatera Selatan;96223;;;-2.92732;104.77197;11;Region II;Sumatera Selatan;Kota Palembang;Klimatologi;7
Taman Alat Digital Staklim Sumsel;96225;;;-3.0156;104.43;4;Region II;Sumatera Selatan;Kota Palembang;Klimatologi;7
Stasiun Meteorologi Depati Amir;96237;;;4.29;97.54;590;Region I;Aceh;Kab. Aceh Timur;Meteorologi;7
Stasiun Klimatologi Bangka Belitung;96239;;;-2.518;106.422;5.8;Region II;Kepulauan Bangka Belitung;Kab. Bangka Tengah;Klimatologi;7
Stasiun Geofisika Tanjung Pandan;96247;;;-2.7575;107.65;22;Region II;Kepulauan Bangka Belitung;Kab. Belitung;Geofisika;7
