name;station_id;address;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Klimatologi Kalimantan Selatan;96687;Jl. Trikora, Sungai Besar, Banjarbaru Selatan, Kota Banjarbaru, Kalimantan Selatan;;-5.47;122.62;35;Region IV;Sulawesi Tenggara;Kota Bau Bau;2;UTC+08:00
Stasiun Meteorologi Gusti Syamsir Alam;96695;Jl. Raya Stagen KM. 10, Kec. Pulau Laut Utara, Kab. Kotabaru, Kalimantan Selatan;;-8.75;115.17;4;Region III;Bali;Kab. Badung;1;UTC+08:00
Stasiun Klimatologi Banten;96733;Jl. Raya Kodam Bintaro No 82, Pondok Betung, Pondok Aren, Kota Tangerang Selatan;;4.113;96.213;21;Region I;Aceh;Kab. Aceh Barat;2;UTC+07:00
Stasiun Geofisika Tangerang;96735;Jl. Meteorologi I No 5 Tanah Tinggi Tangerang, Kota Tangerang. Kodepos;;-8.48845;117.41336;3.3;Region III;Nusa Tenggara Barat;Kab. Sumbawa;3;UTC+07:00
Stasiun Meteorologi Maritim Merak;96737;Jl. Raya Taktakan No 27 Serang Banten;;-6.11185;106.11;25.908;Region II;Banten;Kota Serang;1;UTC+07:00
Stasiun Meteorologi Budiarto;96739;Bandar Udara Budiarto, Komplek STPI Curug, Kec. Legok, Kab. Tangerang;;4.47;96.09;40;Region I;Aceh;Kab. Aceh Barat;1;UTC+07:00
Stasiun Meteorologi Maritim Tanjung Priok;96741;Jl. Padamarang No. 4A Pelabuhan Tanjung Priok Jakarta Utara;;-8.63;120.45;1070;Region III;Nusa Tenggara Timur;Kab. Manggarai;1;UTC+07:00
Stasiun Geofisika Gorontalo;96743;Jl. Hi. Adam Hoesa, Desa Talumelito, Kec. Telaga Biru, Gorontalo;;-8.63577;122.23752;28;Region III;Nusa Tenggara Timur;Kab. Sikka;3;UTC+08:00
Pos Pengamatan Kemayoran;96745;Bandara Soekarno-Hatta Gedung 725, Pajang, Benda, Kota Tangerang, Banten;;-8.2752;122.9986;9;Region III;Nusa Tenggara Timur;Kab. Flores Timur;1;UTC+07:00
Halim Perdana Kusuma TNIAU;96747;Jl. Padamarang No. 4A Pelabuhan Tanjung Priok Jakarta Utara;;0;0;0;Region III;Nusa Tenggara Timur;Kab. Belu;1;UTC+07:00
Stasiun Meteorologi Soekarno Hatta;96749;Bandara Soekarno-Hatta Gedung 725, Pajang, Benda, Kota Tangerang, Banten;;-6.12;106.65;11;Region II;Banten;Kota Tangerang;1;UTC+07:00
Stasiun Meteorologi Citeko;96751;Jl. Raya Citeko, Cisarua, RT.002/RW.009 Desa Citeko, Kecamatan CIsarua, Kabupaten Bogor;;-6.7;106.85;920;Region II;Jawa Barat;Kab. Bogor;1;UTC+07:00
Stasiun Klimatologi Jawa Barat;96753;Jl. Raya Dramaga KM 6.5 Bogor Barat, Kota Bogor, Jawa Barat;;-10.1678;123.67039;102;Region III;Nusa Tenggara Timur;Kota Kupang;2;UTC+07:00
Atang Sendjaja TNIAU;96755;;;3.749;96.84832;21;Region I;Aceh;Kab. Aceh Barat Daya;1;UTC+07:00
Surya Darma TNIAU;96773;;;0;0;0;Region II;Jawa Barat;Kab. Subang;1;UTC+07:00
Husein Sastra Negara TNIAU;96781;;;-6.90227;107.57627;746.76;Region II;Jawa Barat;Kota Bandung;1;UTC+07:00
Stasiun Geofisika Bandung;96783;Jl. Cemara No.66, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat;;-10.76662;123.07395;141;Region III;Nusa Tenggara Timur;Kab. Rote Ndao;3;UTC+07:00
Stasiun Meteorologi Kertajati;96791;Jl. Letnan Angkat Arzain No.28 Jatiwangi Majalengka, Jawa Barat;;-6.7344;108.263;42.3;Region II;Jawa Barat;Kab. Majalengka;1;UTC+07:00
Pos Meteorologi Penggung;96793;;;2.47;97.85;14;Region I;Aceh;Kab. Aceh Singkil;1;UTC+07:00
Stasiun Meteorologi Maritim Tegal;96797;Jl. Kolonel Sugiono No. 100 Tegal;;-6.5254;109.07157;3;Region II;Jawa Tengah;Kab. Tegal;1;UTC+07:00
Wiriadinata TNIAU;96801;;;0;0;0;Region III;Kalimantan Selatan;Kab. Tanah Bumbu;1;UTC+07:00
Stasiun Meteorologi Tunggul Wulung;96805;Jl. Gatot Subroto No. 20, Sidanegara, Cilacap Tengah, Cilacap;;-7.7186;109.0148;6;Region II;Jawa Tengah;Kab. Cilacap;1;UTC+07:00
Stasiun Geofisika Banjarnegara;96807;Jl. Raya Banjarmangu Km.12, Kalilunjar, Banjarmangu, Banjarnegara;0-20000-0-96807;-7.333;109.7069;608;Region II;Jawa Tengah;Kab. Banjarnegara;3;UTC+07:00
Stasiun Klimatologi Jawa Tengah;96835;Jl. Siliwangi No. 291 Semarang;;5.46731;95.37;19;Region I;Aceh;Kab. Aceh Besar;2;UTC+07:00
Stasiun Meteorologi Maritim Tanjung Emas;96837;Jl. Yos Sudarso No.58 Pelabuhan Tanjung Emas Semarang;;5.49519;95.33187;8;Region I;Aceh;Kab. Aceh Besar;1;UTC+07:00
Stasiun Meteorologi Ahmad Yani;96839;Jl. PUAD Bandar Udara Ahmad Yani Semarang;;-6.97683;110.3778;5;Region II;Jawa Tengah;Kota Semarang;1;UTC+07:00
Adi Soemarmo TNIAU;96845;Jl. Siliwangi No. 291 Semarang;;3.84598;96.74434;16;Region I;Aceh;Kab. Aceh Barat Daya;1;UTC+07:00
Stasiun Klimatologi DI Yogyakarta;96851;Jl. Kabupaten Km 5,5 Duwet, Sendangadi, Mlati, Sleman, Daerah Istimewa Yogyakarta;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Tengah;2;UTC+07:00
Adisutjipto TNIAU;96853;;0-20000-0-96853;3.90206;96.69744;37;Region I;Aceh;Kab. Aceh Barat Daya;1;UTC+07:00
Stasiun Geofisika Sleman;96855;Jl. wates km.8 Jitengan Balecatur Gamping Sleman Yogyakarta;;-7.82;110.3;153;Region II;DI Yogyakarta;Kab. Sleman;3;UTC+07:00
Detasemen Pacitan TNIAU;96857;;;3.84592;96.74428;16;Region I;Aceh;Kab. Aceh Barat Daya;1;UTC+07:00
Stasiun Meteorologi Yogyakarta;96859;Jl. Nasional 3, Bandar Udara Yogyakarta Internasional Airport Kulon Progo;;-7.90746;110.05448;7;Region II;DI Yogyakarta;Kab. Kulon Progo;1;UTC+07:00
Iswahyudi TNIAU;96881;;;0;0;0;Region I;Aceh;Kab. Gayo Lues;1;UTC+07:00
Stasiun Meteorologi Sangkapura;96925;Jl. Umar Mas'ud No.4 Sangkapura - Bawean Gresik;;-1.8754;136.23994;3;Region V;Papua;Kab. Kepulauan Yapen;1;UTC+07:00
Stasiun Meteorologi Dhoho;96929;Bandara Dhoho Kediri, Grogol, Kec. Grogol, Kabupaten Kediri, Jawa Timur;;5.2503;96.79846;6;Region I;Aceh;Kab. Bireuen;1;UTC+07:00
Stasiun Meteorologi Perak I;96933;Jl. Kalimas Baru 97 B Surabaya;-;5.54135;95.5113;281;Region I;Aceh;Kab. Aceh Besar;1;UTC+07:00
Stasiun Meteorologi Juanda;96935;Bandar Udara Juanda Surabaya (Terminal 1), Sedati - Sidoarjo;;5.52;95.35;7;Region I;Aceh;Kab. Aceh Besar;1;UTC+07:00
Stasiun Meteorologi Maritim Tanjung Perak;96937;Jl. Kalimas Baru 97 B Surabaya;-;-7.2053;112.7353;3;Region III;Jawa Timur;Kota Surabaya;1;UTC+07:00
Stasiun Meteorologi Tuban;96939;Jl. Raya Beji Desa Kaliuntu Kecamatan Jenu Kabupaten Tuban;;0;0;0;Region III;Kalimantan Tengah;Kab. Seruyan;1;UTC+07:00
Stasiun Klimatologi Jawa Timur;96943;Jl. Zentana 33, Karangploso, Malang, Jawa Timur;;-7.9008;112.5979;590;Region III;Jawa Timur;Kab. Malang;2;UTC+07:00
Stasiun Geofisika Pasuruan;96945;Jl. Sedap Malam, Mlaten, Pandaan, Pasuruan, Jawa Timur;;5.5884;95.3973;8;Region I;Aceh;Kab. Aceh Besar;3;UTC+07:00
Abdul Rahman Saleh TNIAU;96947;;;0;0;0;Region I;Aceh;Kab. Aceh Selatan;1;UTC+07:00
Stasiun Geofisika Malang;96949;Jl. Raya Bendungan Lahor, No. 40, Karangkates, Sumberpucung, Malang;;-2.57;140.48;96;Region V;Papua;Kab. Jayapura;3;UTC+07:00
Stasiun Meteorologi Trunojoyo;96973;Jl. Raya kalianget Barat No. 8, Sumenep;;-3.25;127.08;10;Region IV;Maluku;Kab. Buru;1;UTC+07:00
Stasiun Geofisika Nganjuk;96975;Jl. Pesanggrahan Sawahan Nganjuk JATIM;;-3.3464;128.9284;8;Region IV;Maluku;Kab. Maluku Tengah;3;UTC+07:00
Stasiun Meteorologi Banyuwangi;96987;Jl. Jaksa Agung Suprapto, No.152, Banyuwangi, Jawa Timur;;-8.215;114.3553;52;Region III;Jawa Timur;Kab. Banyuwangi;1;UTC+07:00
Pos Meteorologi Melonguane;97004;Jl. Bandar Udara Naha, Kec. Tabukan Utara, Kab. Kep. Sangihe;;4.05492;97.07628;913;Region I;Aceh;Kab. Gayo Lues;1;UTC+08:00
Stasiun Meteorologi Naha;97008;Jl. Bandar Udara Naha, Kec. Tabukan Utara, Kab. Kep. Sangihe;;5.29846;95.60126;122;Region I;Aceh;Kab. Aceh Besar;1;UTC+08:00
Stasiun Geofisika Manado;97010;Jl. Harapan No.42, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara;;1.4434;124.8389;204;Region IV;Sulawesi Utara;Kota Manado;3;UTC+08:00
Stasiun Klimatologi Sulawesi Utara;97012;Jl. Raya Paniki Atas, Desa Paniki Atas, Kec. Talawaan, Kab. Minahasa Utara;;1.54585;124.9233;84;Region IV;Sulawesi Utara;Kab. Minahasa Utara;2;UTC+08:00
Stasiun Meteorologi Sam Ratulangi;97014;Jl. Mr. A.A. Maramis Bandara Sam Ratulangi Manado;;1.54575;124.9234;80;Region IV;Sulawesi Utara;Kota Manado;1;UTC+08:00
Stasiun Meteorologi Maritim Bitung;97016;Jl. S. H. Sarundajang, Wangurer Barat, Madidir, Bitung, Sulawesi Utara;;5.43905;95.40411;22;Region I;Aceh;Kab. Aceh Besar;1;UTC+08:00
Stasiun Meteorologi Sultan Bantilan;97028;Komplek Bandar Udara Sultan Bantilan, Desa Lalos, Kec.Galang, Kab. Tolitoli Sulawesi Tengah;;-5.6637;132.7362;10;Region IV;Maluku;Kab. Maluku Tenggara;1;UTC+08:00
Stasiun Meteorologi Djalaluddin;97048;Jl. Bandara Djalaluddin Tantu, Desa Tolotio, Kec. Tibawa, Kabupaten Gorontalo, Gorontalo;;5.60011;95.38777;3;Region I;Aceh;Kab. Aceh Besar;1;UTC+08:00
Stasiun Klimatologi Gorontalo;97052;Jl. B.J Habibie (desa moutong) Kec. Tilongkabila Kab. Bone Bolango;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Timur;2;UTC+08:00
Stasiun Meteorologi Mutiara Sis-Al Jufri;97072;Komplek Bandara Mutiara Palu Jl. Abdurahman Saleh Biroboli - Sulawesi Tengah;;-0.91589;119.90554;79;Region IV;Sulawesi Tengah;Kota Palu;1;UTC+08:00
Stasiun Geofisika Palu;97074;Jl. Sumur Yuga No. 04, Kel. Balaroa, Kec. Palu Barat, Kota Palu;;-8.52019;140.41568;0;Region V;Papua;Kab. Merauke;3;UTC+08:00
Stasiun Meteorologi Syukuran Aminudin Amir;97086;Komplek Bandara SAA Luwuk, Jl. Dr. Moh. Hatta, Desa Bubung, Kec. Luwuk Selatan, Kab. Banggai, Sulawesi Tengah;;5.19511;96.69308;27;Region I;Aceh;Kab. Bireuen;1;UTC+08:00
Stasiun Pemantau Atmosfer Global Lore Lindu Bariri;97094;Jl. Sapta Marga No.01, Kelurahan Birobuli Utara, Kec. Palu Selatan, Kota Palu, Sulawesi Tengah;;5.20483;96.66624;7;Region I;Aceh;Kab. Bireuen;2;UTC+08:00
Stasiun Meteorologi Kasiguncu;97096;Jl. Bandara Kasiguncu no. 202 Poso;;5.51416;95.4241;0;Region I;Aceh;Kab. Aceh Besar;1;UTC+08:00
Stasiun Meteorologi Tampa Padang;97116;Jl. Abdul Malik Pattana Endeng, Rangas, Kec. Simboro dan Kepulauan Kab. Mamuju, Propinsi Sulawesi Barat;;-2.58939;119.02949;0;Region IV;Sulawesi Barat;Kab. Mamuju;1;UTC+08:00
Stasiun Meteorologi Majene;97120;Jl. Abdul Malik Pattana Endeng, Rangas, Kec. Simboro dan Kepulauan Kab. Mamuju, Propinsi Sulawesi Barat;;-3.55074;118.98054;29;Region IV;Sulawesi Barat;Kab. Majene;1;UTC+08:00
Stasiun Meteorologi Toraja;97124;Jl. Bandara Toraja Kec. Mengkendek Kab. Tana Toraja - Sulawesi Selatan;;-6.7553;108.53904;23;Region II;Jawa Barat;Kab. Cirebon;1;UTC+08:00
Stasiun Meteorologi Andi Jemma;97126;Jl. Dirgantara no 3 kec Masamba kab Luwu Utara, Sulawesi Selatan;;-2.55472;120.32422;43;Region IV;Sulawesi Selatan;Kab. Luwu Utara;1;UTC+08:00
Stasiun Meteorologi Sangia Ni Bandera;97142;Jl. Protokol No. 1, Desa Dawi-Dawi, Kec. Pomalaa, Kab. Kolaka, Sulawesi Tenggara;;-7.90746;110.05448;7;Region II;DI Yogyakarta;Kab. Kulon Progo;1;UTC+08:00
Stasiun Meteorologi Maritim Kendari;97144;Jl. Jendral Sudirman no. 158 Kel. Kampung Salo Kec. Kendari Kota Kendari Sulawesi Tenggara;;-3.9701;122.5895;2;Region IV;Sulawesi Tenggara;Kota Kendari;1;UTC+08:00
Haluoleo TNIAU;97146;;;0;0;0;Region I;Aceh;Kab. Aceh Singkil;1;UTC+08:00
Stasiun Geofisika Kendari;97148;Jl. R.E. Martadinata No. 154 Kel. Purirano Kendari, Sulawesi Tenggara;;-2.58939;119.02949;0;Region IV;Sulawesi Barat;Kab. Mamuju;3;UTC+08:00
Stasiun Klimatologi Sulawesi Tenggara;97150;Poros Bandara, Lorong Mekar, Desa Ranooha, Kec. Ranomeeto, Kabupaten Konawe Selatan, Sulawesi Tenggara;;2.53;97.94;36;Region I;Aceh;Kab. Aceh Singkil;2;UTC+08:00
Stasiun Meteorologi Sultan Hasanuddin;97180;Jl. Bandara Internasional Sultan Hasanuddin Hasanuddin Mandai, Maros - Sulawesi Selatan;;5.31158;96.01857;8;Region I;Aceh;Kab. Pidie;1;UTC+08:00
Stasiun Meteorologi Maritim Paotere;97182;Jl. Salodong Kelurahan Untia Kecamatan Biringkanaya;;3.5437;108.2305;2;Region I;Kepulauan Riau;Kab. Natuna;1;UTC+08:00
Stasiun Klimatologi Sulawesi Selatan;97184;Jl. DR. Ratulangi no. 75A, Kel. Baju Bodoa, Kec. Maros Baru, Kab. Maros - Sulawesi Selatan;0-20000-0-97184;5.37819;95.93594;5;Region I;Aceh;Kab. Pidie;2;UTC+08:00
Stasiun Geofisika Gowa;97186;Jl. Poros Malino, Kel. Tamarunang, Sungguminasa, Kab. Gowa, Sulawesi Selatan;;1;109;97;Region II;Kalimantan Barat;Kab. Bengkayang;3;UTC+08:00
Stasiun Meteorologi Beto Ambari;97192;Jl. Dayanu Ikhsanuddin, Kel. Katobengke, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara;;-5.47;122.62;35;Region IV;Sulawesi Tenggara;Kota Bau Bau;1;UTC+08:00
Stasiun Meteorologi I Gusti Ngurah Rai;97230;Gedung GOI Lantai II Bandara Ngurah Rai;;-6.544456;106.755346;176.784;Region II;Jawa Barat;Kab. Bogor;1;UTC+08:00
Stasiun Geofisika Denpasar;97232;Jl. Pulau Tarakan No 1 Denpasar Barat;;-8.67689;115.21;15;Region III;Bali;Kota Denpasar;3;UTC+08:00
Pos Pengamatan Kahang-Kahang;97234;Jl. Cemara No.66, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat;;-6.90227;107.57627;746.76;Region II;Jawa Barat;Kota Bandung;3;UTC+08:00
Stasiun Klimatologi Bali;97236;Jl. Lely No. 9, Baler-bale Agung. Kecamatan Negara;0-20000-0-97236;0;0;0;Region II;Jawa Barat;Kab. Bandung;2;UTC+08:00
Stasiun Meteorologi Zainuddin Abdul Madjid;97240;Jl. Raya Mandalika Penujak, Praya, Lombok Tengah NTB;;-7.519583;110.75175;127;Region II;Jawa Tengah;Kab. Karanganyar;1;UTC+08:00
Stasiun Klimatologi Nusa Tenggara Barat;97242;Jl. Tgh. Ibrahim Khalidy, Desa Montong Are, Kec. Kediri Kab.Lombok Barat, NTB;0-20000-0-97242;-8.63627;116.17094;55;Region III;Nusa Tenggara Barat;Kab. Lombok Barat;2;UTC+08:00
Stasiun Geofisika Alor;97247;Jl. Soekarno-Hatta, Kabola, Kab. Alor - NTT;;-8.144692;124.590197;16;Region III;Nusa Tenggara Timur;Kab. Alor;3;UTC+08:00
Stasiun Meteorologi Sultan Muhammad Kaharuddin;97260;Jl. Garuda No.43 Sumbawa Besar;0-20000-0-97260;-8.48845;117.41336;3.048;Region III;Nusa Tenggara Barat;Kab. Sumbawa;1;UTC+08:00
Stasiun Meteorologi Sultan Muhammad Salahuddin;97270;Jl. Sultan M. Salahuddin Palibelo Bima - NTB;;-8.539026693;118.6895538;1.3;Region III;Nusa Tenggara Barat;Kota Bima;1;UTC+08:00
Stasiun Meteorologi Komodo;97282;Jl. Yohanes Sehadun, Labuan Bajo, Komodo, Manggarai Barat, Nusa Tenggara Timur;;-4.435;122.2512;50;Region IV;Sulawesi Tenggara;Kab. Konawe Selatan;1;UTC+08:00
Stasiun Meteorologi Frans Sales Lega;97284;Jl. Satar Tacik, Ruteng, Kab.Manggarai, Nusa Tenggara Timur;;-8.63;120.45;1070;Region III;Nusa Tenggara Timur;Kab. Manggarai;1;UTC+08:00
Stasiun Meteorologi Fransiskus Xaverius Seda;97300;Jl. Adi Sucipto, Kec. Waioti, Kel. Alok Timur, Kab. Sikka, NTT;;4.0071351;126.6747032;0;Region IV;Sulawesi Utara;Kab. Kepulauan Talaud;1;UTC+08:00
Stasiun Meteorologi Gewayantana;97310;Jl. Soekarno-Hatta No.76, Kec. Ile Mandiri, Flores Timur, NTT;;5.22047;95.85882;99;Region I;Aceh;Kab. Pidie;1;UTC+07:00
Stasiun Meteorologi Mali;97320;Jl. SOEKARNO HATTA, Kel. Kabola kec. Kabola - Alor;;-8.246193;113.694912;264;Region III;Jawa Timur;Kab. Jember;1;UTC+08:00
Stasiun Meteorologi Umbu Mehang Kunda;97340;Jl. Adi Sucipto No.3 Kel. Mau Hau, Kab. Sumba Timur, NTT;;-9.66944;120.29972;10;Region III;Nusa Tenggara Timur;Kab. Sumba Timur;1;UTC+08:00
Stasiun Geofisika Sumba Timur;97342;Jl. Adi Sucipto I/8, Mauhau, Kab. Sumba Timur, NTT;;3.55916;98.67111;27;Region I;Sumatera Utara;Kota Medan;3;UTC+08:00
Stasiun Meteorologi Maritim Tenau;97370;Jl. M. Praja, Alak - Kupang;;1.46977;109.22;2;Region II;Kalimantan Barat;Kab. Sambas;1;UTC+08:00
Stasiun Meteorologi Eltari;97372;Jl. Adi Sucipto Bandar Udara El Tari Kupang;;5.13068;97.42876;10;Region I;Aceh;Kab. Aceh Utara;1;UTC+08:00
Stasiun Klimatologi Nusa Tenggara Timur;97374;Jl. Timor Raya KM 10,7 Lasiana Kupang - NTT;20000-0-1-97374;5.2338;95.91185;44;Region I;Aceh;Kab. Pidie;2;UTC+08:00
Stasiun Geofisika Kupang;97376;Jl. R.W. Monginsidi Pasir Panjang, Kecamatan Kota Lama, Kota Kupang - NTT;;-7.6439066;109.0354614;21;Region II;Jawa Tengah;Kab. Cilacap;3;UTC+07:00
Stasiun Meteorologi David Constatijn Saudale;97378;Jl. Bandar Udara D.C Saudale Rote;;5.098;97.069;49;Region I;Aceh;Kab. Aceh Utara;1;UTC+08:00
Stasiun Meteorologi Tardamu;97380;Jl. Tardamu No.12 Seba - Sabu;;5.0595;97.33926;3;Region I;Aceh;Kab. Aceh Utara;1;UTC+08:00
Leowatimena TNIAU;97404;;;0;0;0;Region IV;Sulawesi Selatan;Kab. Luwu Timur;1;UTC+09:00
Stasiun Meteorologi Gamar Malamo;97406;Jl. Bandara Udara Gamar Malamo Ds. Dokulamo Kec. Galela Barat Kab. Halmahera Utara;;1.84092;127.7905;130;Region IV;Maluku Utara;Kab. Halmahera Utara;1;UTC+07:00
Pos Meteorologi Kao;97410;;;0;0;0;Region V;Papua Barat;Kab. Kaimana;1;UTC+08:00
