name;station_id;address;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Karel Sadsuitubun;97810;Jl. Bandara Karel Sadsuitubun Ibra Kec. Kei Kecil Timur Kab. Maluku Tenggara (Kantor Operasional);;-5.6637;132.7362;10;Region IV;Maluku;Kab. Maluku Tenggara;1;UTC+09:00
Stasiun Geofisika Nabire;97812;Jl. Matoa (Dekat Putaran 1), Kalibobo, Nabire, Nabire - Papua Tengah;;5.07538;96.94248;407;Region I;Aceh;Kab. Aceh Utara;2;UTC+09:00
Stasiun Meteorologi Tanah Merah;97876;Kompleks Perumahan Bandar Udara Tanah Merah;;-6.1;140.31;97;Region V;Papua;Kab. Boven Digoel;1;UTC+09:00
Stasiun Meteorologi Mathilda Batlayeri;97900;Jl. Harapan Saumlaki, Kepulauan Tanimbar;;0;0;0;Region II;Sumatera Selatan;Kota Pagar Alam;1;UTC+09:00
Stasiun Geofisika Maluku Tenggara Barat;97902;Jl. Harapan Saumlaki, Kecamatan Tanimbar Selatan, Kabupaten Kepulauan Tanimbar, Maluku;;5.367;95.95;23;Region IV;Maluku;Kab. Kepulauan Tanimbar;3;UTC+09:00
Stasiun Klimatologi Papua Selatan;97978;Jl. Poros Semangga-Tanah Miring, dist. Tanah Miring;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Utara;2;UTC+09:00
Stasiun Meteorologi Mopah;97980;Jl. PGT Bandar Udara Mopah Merauke, Rimba Jaya, Merauke, Papua Selatan;;0;0;0;Region II;Lampung;Kab. Pesisir Barat;1;UTC+09:00
Pos Meteorologi Liwa Lampung;99921;;;-5.01695;104.05891;0;Region II;Lampung;Kab. Lampung Barat;1;UTC+07:00
Stasiun Geofisika Sukabumi;99923;Jl. Jayanti-Citarik, Desa Jayanti, Kecamatan Palabuhanratu, Kabupaten Sukabumi, Jawa Barat;;0;0;0;Region III;Kalimantan Utara;Kab. Malinau;3;UTC+07:00
Pos Polusi Udara Cibeureum;99925;;;0;0;0;Region IV;Maluku;Kab. Seram Bagian Timur;2;UTC+07:00
Pos Meteorologi Bandara Notohadinegoro - Jember;99927;Jl. SOEKARNO HATTA, Kel. Kabola kec. Kabola - Alor;;-8.246193;113.694912;264;Region III;Jawa Timur;Kab. Jember;1;UTC+07:00
Pos Meteorologi Lede Kalumbang - Tambolaka;99931;;;3.7405;97.61631;440;Region I;Aceh;Kab. Gayo Lues;1;UTC+08:00
Stasiun Geofisika Mataram;99932;Jl. Adi Sucipto No. 10 Rembiga Selaparang Mataram NTB;;5.18564;96.46178;18;Region I;Aceh;Kab. Bireuen;3;UTC+08:00
Stasiun Geofisika Aceh Selatan;99933;Jl. Bandara T. Cut Ali Desa Teupin Gajah, Kec. Pasie Raja, Kab. Aceh Selatan, Aceh;;3.17333;97.28637;2;Region I;Aceh;Kab. Aceh Selatan;3;UTC+07:00
AWOS A. A. Bere Tallo;99954;;;4.58689;95.66125;8;Region I;Aceh;Kab. Aceh Jaya;1;UTC+08:00
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II;99992;Jl. Abdul Ghani No.5, Cempaka Putih, Ciputat Timur, Tangerang Selatan;;2.63;96.14;12;Region I;Aceh;Kab. Simeulue;4;UTC+07:00
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah V;99995;Jl. Raya Abepura Entrop Kp 1572 Jayapura Selatan, Jayapura, Papua;;-2.57522;140.68624;0;Region V;Papua;Kota Jayapura;4;UTC+09:00
